Ano,Grupo,Quadrilha,Etapa,TotalEtapa
2024,GRUPO ESPECIAL,XÉM NHEM NHÉM,4ª ETAPA,203.2
2025,GRUPO ESPECIAL,ARROXA O NÓ,1ª ETAPA,209.6
2025,GRUPO ESPECIAL,FORMIGA DA ROÇA,1ª ETAPA,209.9
2025,GRUPO ESPECIAL,RIBULIÇO,1ª ETAPA,208.9
2025,GRUPO ESPECIAL,RASGA O FOLE,1ª ETAPA,209.1
2025,GRUPO ESPECIAL,CAIPIRADA,1ª ETAPA,209.1
2025,GRUPO ESPECIAL,PINGA EM MIM,1ª ETAPA,208.6
2025,GRUPO ESPECIAL,XAMEGAR,1ª ETAPA,209.0
2025,GRUPO ESPECIAL,VAI MAS NÃO VAI,1ª ETAPA,208.3
2025,GRUPO ESPECIAL,AMOR JUNINO,1ª ETAPA,208.6
2025,GRUPO ESPECIAL,MALA VÉIA,1ª ETAPA,209.2
2025,GRUPO ESPECIAL,EITA BAGACEIRA,1ª ETAPA,207.7
2025,GRUPO ESPECIAL,ARRAIÁ DOS MATUTOS,1ª ETAPA,207.1
2025,GRUPO ESPECIAL,ESPALHA BRASA,1ª ETAPA,206.8
2025,GRUPO ESPECIAL,COISAS DA ROÇA,1ª ETAPA,206.5
2025,GRUPO ESPECIAL,TICO TICO NO FUBÁ,1ª ETAPA,206.3
2025,GRUPO ESPECIAL,ARROXA O NÓ,2ª ETAPA,209.9
2025,GRUPO ESPECIAL,FORMIGA DA ROÇA,2ª ETAPA,209.9
2025,GRUPO ESPECIAL,RIBULIÇO,2ª ETAPA,209.9
2025,GRUPO ESPECIAL,RASGA O FOLE,2ª ETAPA,209.7
2025,GRUPO ESPECIAL,CAIPIRADA,2ª ETAPA,209.1
2025,GRUPO ESPECIAL,PINGA EM MIM,2ª ETAPA,208.7
2025,GRUPO ESPECIAL,XAMEGAR,2ª ETAPA,209.3
2025,GRUPO ESPECIAL,VAI MAS NÃO VAI,2ª ETAPA,208.9
2025,GRUPO ESPECIAL,AMOR JUNINO,2ª ETAPA,209.7
2025,GRUPO ESPECIAL,MALA VÉIA,2ª ETAPA,208.9
2025,GRUPO ESPECIAL,EITA BAGACEIRA,2ª ETAPA,209.0
